Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
----,Ilyushin,Il-76,IL-76 MD,RA-76634,152b5a,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76638,152b5e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76641,152b61,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76648,152b68,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76649,152b69,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76669,152b7d,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76686,152b8e,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76713,152ba9,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76718,152bae,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76719,152baf,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76724,152bb4,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76725,152bb5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76738,152bc2,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76741,152bc5,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76743,152bc7,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 TD,RA-76750,152bce,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76762,152bda,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76763,152bdb,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76767,152bdf,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76771,152be3,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76776,152be8,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76780,152bec,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
