Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Flores,Guatemala,Volcanic field,14.31,-89.99,1600,0.249756615960389,-1.5706217938697,POINT(-89.99 14.31)
Flores,Azores,Stratovolcanoes,39.46,-31.22,914,0.688706922836962,-0.54489179247263,POINT(-31.22 39.46)
Fogo,Cape Verde Is,Stratovolcano,14.95,-24.35,2829,0.260926723173152,-0.424987672860619,POINT(-24.35 14.95)
Fonualei,Tonga-SW Pacific,Stratovolcano,-18.02,-174.33,180,-0.314508331209378,-3.04263248500171,POINT(-174.33 -18.02)
Fort Portal Field,Africa-C,Tuff cones,0.7,30.25,1524,0.01221730476396,0.527962098728285,POINT(30.25 0.7)
Fort Rock,US-Oregon,Tuff cones,43.3,-121,1716,0.755727566113545,-2.11184839491314,POINT(-121 43.3)
Fort Selkirk,Canada,Volcanic field,62.93,-137.38,1239,1.09833569828003,-2.39773332638981,POINT(-137.38 62.93)
Four Craters Lava Field,US-Oregon,Volcanic field,43.36,-120.67,1501,0.756774763664741,-2.10608880838156,POINT(-120.67 43.36)
"Fournaise, Piton de la",Indian O.-W,Shield volcano,-21.23,55.71,2632,-0.370533400198396,0.972322926286041,POINT(55.71 -21.23)
Fourpeaked,Alaska Peninsula,Stratovolcano,58.77,-153.67,2105,1.02573000139707,-2.68204746153969,POINT(-153.67 58.77)
Fremrinamur,Iceland-NE,Stratovolcano,65.43,-16.65,939,1.14196892957989,-0.290597320457056,POINT(-16.65 65.43)
Frosty,Alaska Peninsula,Stratovolcanoes,55.08,-162.81,2012,0.961327351998477,-2.84157055517197,POINT(-162.81 55.08)
Fuego,Guatemala,Stratovolcano,14.47,-90.88,3763,0.252549142763579,-1.58615522421245,POINT(-90.88 14.47)
Fueguino,Chile-S,Lava domes,-54.95,-70.25,150,-0.959058423970884,-1.22609379952602,POINT(-70.25 -54.95)
Petacas,Colombia,Lava dome,1.57,-76.78,4054,0.027401669256311,-1.34006379968125,POINT(-76.78 1.57)
Fuerteventura,Canary Is,Fissure vents,28.36,-14.02,529,0.494975375865592,-0.244695161129605,POINT(-14.02 28.36)
Fuji,Honshu-Japan,Stratovolcano,35.36,138.73,3776,0.617148423505195,2.42129527129173,POINT(138.73 35.36)
Fukue-jima,Kyushu-Japan,Shield volcanoes,32.65,128.85,317,0.569850000776149,2.24885674119469,POINT(128.85 32.65)
Fukujin,Volcano Is-Japan,Submarine volcano,21.93,143.47,-217,0.382750704962356,2.50402387783627,POINT(143.47 21.93)
Fukutoku-Okanoba,Volcano Is-Japan,Submarine volcano,24.28,141.49,-14,0.423765942384223,2.46946635864678,POINT(141.49 24.28)
Furnas,Azores,Stratovolcano,37.77,-25.32,805,0.659210858478258,-0.441917366604964,POINT(-25.32 37.77)
Fuss Peak,Kuril Is,Stratovolcano,50.27,155.25,1772,0.87737701497755,2.7096236637212,POINT(155.25 50.27)
Gabillema,Ethiopia,Stratovolcano,11.08,41.27,1459,0.193382481120972,0.72029738229806,POINT(41.27 11.08)
Gada Ale,Ethiopia,Stratovolcano,13.98,40.41,287,0.243997029428807,0.705287550730908,POINT(40.41 13.98)
Gaja-jima,Ryukyu Is,Stratovolcano,29.9,129.54,497,0.521853446346305,2.26089951303345,POINT(129.54 29.9)
Galápagos Rift,Pacific-E,Submarine volcano,0.79,-86.15,-2430,0.013788101090755,-1.50360115059312,POINT(-86.15 0.79)
Galeras,Colombia,Complex volcano,1.22,-77.37,4276,0.021293016874331,-1.35036124226801,POINT(-77.37 1.22)
Gallego,Solomon Is-SW Pacific,Volcanic field,-9.35,159.73,1000,-0.16318828506147,2.78781441421054,POINT(159.73 -9.35)
Galunggung,Java,Stratovolcano,-7.25,108.06,2168,-0.126536370769589,1.88600278970507,POINT(108.06 -7.25)
Gamalama,Halmahera-Indonesia,Stratovolcanoes,0.8,127.33,1715,0.013962634015955,2.22232773656438,POINT(127.33 0.8)
Gamchen,Kamchatka,Complex volcano,54.97,160.7,2576,0.959407489821283,2.80474410795489,POINT(160.7 54.97)
Gamkonora,Halmahera-Indonesia,Stratovolcano,1.38,127.53,1635,0.024085543677522,2.22581839506837,POINT(127.53 1.38)
Garbuna Group,New Britain-SW Pac,Stratovolcanoes,-5.45,150.03,564,-0.095120444233691,2.61851747676709,POINT(150.03 -5.45)
Gareloi,Aleutian Is,Stratovolcano,51.79,-178.79,1573,0.903906019607863,-3.12047416964066,POINT(-178.79 51.79)
Garibaldi,Canada,Stratovolcano,49.85,-123,2678,0.870046632119173,-2.14675497995302,POINT(-123 49.85)
Garibaldi Lake,Canada,Volcanic field,49.92,-123.03,2316,0.871268362595569,-2.14727857872862,POINT(-123.03 49.92)
Garove,New Britain-SW Pac,Stratovolcano,-4.69,149.5,368,-0.081855941918534,2.60926723173152,POINT(149.5 -4.69)
Garua Harbour,New Britain-SW Pac,Volcanic field,-5.3,150.07,565,-0.0925024503557,2.61921560846789,POINT(150.07 -5.3)
Gaua,Vanuatu-SW Pacific,Stratovolcano,-14.27,167.5,797,-0.249058484259591,2.9234264970905,POINT(167.5 -14.27)
Gedamsa Caldera,Ethiopia,Caldera,8.35,39.18,1984,0.145734992541526,0.683820000931378,POINT(39.18 8.35)
Gede,Java,Stratovolcano,-6.78,106.98,2958,-0.118333323285215,1.86715323378353,POINT(106.98 -6.78)
Genovesa,Galápagos,Shield volcano,0.32,-89.96,64,0.005585053606382,-1.5700981950941,POINT(-89.96 0.32)
Geodesistoy,Kamchatka,Shield volcano,56.33,158.67,1170,0.983143967648406,2.7693139241394,POINT(158.67 56.33)
Ghegam Ridge,Armenia,Volcanic field,40.28,44.75,3597,0.703018622703316,0.781034840267463,POINT(44.75 40.28)
Giggenbach,Kermadec Is,Submarine volcano,-30.04,-178.71,-65,-0.524296907299097,-3.11907790623907,POINT(-178.71 -30.04)
Glacier Peak,US-Washington,Stratovolcano,48.11,-121.11,3213,0.839677903134472,-2.11376825709033,POINT(-121.11 48.11)
"Gloria, La",México,Volcanic field,19.33,-97.25,3500,0.337372144410504,-1.69733269756449,POINT(-97.25 19.33)
Golan Heights,Syria,Volcanic field,33.1,35.97,1197,0.577703982410123,0.62779493194236,POINT(35.97 33.1)
Golaya,Kamchatka,Stratovolcano,52.26,157.79,858,0.912109067092237,2.75395502672185,POINT(157.79 52.26)
Golden Trout Creek,US-California,Volcanic field,36.36,-118.32,2886,0.634601716025138,-2.06507357095969,POINT(-118.32 36.36)
Golets-Tornyi Group,Kuril Is,Pyroclastic cones,45.25,148.35,442,0.789761486527434,2.58919594533359,POINT(148.35 45.25)
Göllü Dag,Turkey,Lava dome,38.25,34.57,2143,0.667588438887831,0.60336032241444,POINT(34.57 38.25)
Golovnin,Kuril Is,Caldera,43.84,145.51,543,0.765152344074314,2.53962859457695,POINT(145.51 43.84)
Goodenough,D'Entrecasteaux Is,Volcanic field,-9.48,150.35,220,-0.165457213089062,2.62410253037347,POINT(150.35 -9.48)
Gordon,Alaska-E,Cinder cones,62.13,-143.08,2755,1.08437306426408,-2.49721709375349,POINT(-143.08 62.13)
Gorely,Kamchatka,Caldera,52.56,158.03,1829,0.91734505484822,2.75814381692664,POINT(158.03 52.56)
Goriaschaia Sopka,Kuril Is,Stratovolcano,46.83,151.75,891,0.817337688708945,2.64853713990139,POINT(151.75 46.83)
Gorny Institute,Kamchatka,Stratovolcano,57.33,160.2,2125,1.00059726016835,2.79601746169492,POINT(160.2 57.33)
Graciosa,Azores,Stratovolcano,39.02,-27.97,402,0.681027474128187,-0.488168591782814,POINT(-27.97 39.02)
Gran Canaria,Canary Is,Fissure vents,28,-15.58,1950,0.488692190558412,-0.271922297460717,POINT(-15.58 28)
Granada,Nicaragua,Fissure vents,11.92,-85.98,300,0.208043246837724,-1.50063409086473,POINT(-85.98 11.92)
Great Sitkin,Aleutian Is,Stratovolcano,52.08,-176.13,1740,0.908967474438647,-3.07404841153761,POINT(-176.13 52.08)
Griggs,Alaska Peninsula,Stratovolcano,58.35,-155.09,2317,1.01839961853869,-2.70683113691801,POINT(-155.09 58.35)
"Grille, La",Indian O.-W,Shield volcano,-11.47,43.33,1087,-0.20018926520375,0.756251164889143,POINT(43.33 -11.47)
Grímsnes,Iceland-SW,Crater rows,64.03,-20.87,214,1.11753432005197,-0.364250214891217,POINT(-20.87 64.03)
Grímsvötn,Iceland-NE,Caldera,64.42,-17.33,1725,1.12434110413475,-0.302465559370617,POINT(-17.33 64.42)
Groppo,Ethiopia,Stratovolcano,11.73,40.25,930,0.204727121258935,0.702495023927718,POINT(40.25 11.73)
